Time[s],Deformation[in]
179.5,-0.291558981
179.75,-0.206117718
180,-2.28534E-15
180.25,0.206026734
180.5,0.291301639
180.75,0.205936075
181,5.42237E-15
181.25,-0.20584574
181.5,-0.291046133
181.75,-0.205755728
182,-8.55393E-15
182.25,0.205666038
182.5,0.290792449
182.75,0.205576668
183,1.16801E-14
183.25,-0.205487617
183.5,-0.290540576
183.75,-0.205398885
184,-1.48009E-14
184.25,0.20531047
184.5,0.290290499
184.75,0.20522237
185,1.79163E-14
185.25,-0.205134586
185.5,-0.290042207
185.75,-0.205047115
186,-2.10266E-14
186.25,0.204959957
186.5,0.289795686
186.75,0.20487311
187,-8.80039E-15
187.25,-0.204786574
187.5,-0.289550924
187.75,-0.204700347
188,5.67275E-15
188.25,0.204614428
188.5,0.289307908
188.75,0.204528816
189,-2.55037E-15
189.25,-0.20444351
189.5,-0.289066626
189.75,-0.204358509
190,-5.6678E-16
190.25,0.204273811
190.5,0.288827065
190.75,0.204189417
191,3.67877E-15
191.25,-0.204105324
191.5,-0.288589213
191.75,-0.204021531
192,-6.78566E-15
192.25,0.203938038
192.5,0.288353059
192.75,0.203854843
193,9.88749E-15
193.25,-0.203771946
193.5,-0.288118589
193.75,-0.203689344
194,-1.29843E-14
194.25,0.203607038
194.5,0.287885792
194.75,0.203525026
195,1.60762E-14
195.25,-0.203443308
195.5,-0.287654656
195.75,-0.203361881
196,-1.91632E-14
196.25,0.203280745
196.5,0.287425169
196.75,0.203199899
197,2.22454E-14
197.25,-0.203119342
197.5,-0.287197319
197.75,-0.203039073
198,7.31492E-15
198.25,0.202959091
198.5,0.286971094
198.75,0.202879394
199,-4.21665E-15
199.25,-0.202799983
199.5,-0.286746484
199.75,-0.202720855
200,1.12325E-15
200.25,0.20264201
200.5,0.286523476
200.75,0.202563447
201,1.96534E-15
201.25,-0.202485164
201.5,-0.286302059
201.75,-0.202407161
202,-5.04916E-15
202.25,0.202329437
202.5,0.286082222
202.75,0.202251991
203,8.12827E-15
203.25,-0.202174821
203.5,-0.285863954
203.75,-0.202097928
204,-1.12027E-14
204.25,0.202021309
204.5,0.285647242
204.75,0.201944964
205,1.42726E-14
205.25,-0.201868891
205.5,-0.285432077
205.75,-0.201793091
206,-1.73378E-14
206.25,0.201717561
206.5,0.285218446
206.75,0.201642301
207,2.03986E-14
207.25,-0.201567311
207.5,-0.28500634
207.75,-0.201492588
208,8.93459E-15
208.25,0.201418132
208.5,0.284795747
208.75,0.201343943
209,-5.85885E-15
209.25,-0.201270018
209.5,-0.284586657
209.75,-0.201196358
210,2.78765E-15
210.25,0.201122961
210.5,0.284379058
210.75,0.201049826
211,2.79056E-16
211.25,-0.200976952
211.5,-0.284172941
211.75,-0.200904339
212,-3.34132E-15
212.25,0.200831986
212.5,0.283968293
212.75,0.200759891
213,6.39919E-15
213.25,-0.200688053
213.5,-0.283765106
213.75,-0.200616473
214,-9.45271E-15
214.25,0.200545148
214.5,0.283563369
214.75,0.200474078
